x,y,z
0.333173,0.14125,1.08051
0.392576,0.100681,1.07174
0.469485,0.0481579,1.0604
0.519831,0.0137749,1.05297
0.537996,0.00115278,1.05028
0.537969,0.0128328,1.05076
0.526737,0.0837451,1.05501
0.516291,0.149705,1.05896
0.509106,0.175635,1.06057
0.475279,0.242026,1.06498
0.447255,0.297025,1.06864
0.432514,0.321764,1.07036
0.380558,0.373718,1.07471
0.338406,0.41587,1.07823
0.314252,0.438484,1.0802
0.252194,0.470098,1.08432
0.177927,0.507939,1.08926
0.15527,0.51541,1.09069
0.075884,0.527983,1.09544
0.00476255,0.539248,1.09971
-0.0238987,0.536217,1.10142
-0.106554,0.523126,1.10638
-0.164942,0.513984,1.10987
-0.199087,0.497157,1.11213
-0.244648,0.473943,1.11516
-0.305735,0.442819,1.11922
-0.323654,0.430622,1.12052
-0.377439,0.376838,1.12502
-0.429275,0.325003,1.12936
-0.440927,0.309445,1.13052
-0.47381,0.24491,1.13481
-0.50525,0.183205,1.13891
-0.514041,0.164121,1.13984
-0.522381,0.111261,1.13666
-0.531769,0.0519864,1.13311
-0.539771,0.00206235,1.13012
-0.535655,-0.0274471,1.12835
-0.523164,-0.106313,1.12362
-0.513999,-0.164687,1.12012
-0.499293,-0.194897,1.11813
-0.461595,-0.268883,1.11322
-0.437599,-0.316294,1.11007
-0.407789,-0.346487,1.10756
-0.348073,-0.406203,1.10256
-0.316889,-0.437218,1.09995
-0.268636,-0.46172,1.09675
-0.191997,-0.500769,1.09166
-0.16349,-0.514118,1.08979
-0.0978997,-0.524496,1.08586
-0.0175109,-0.537229,1.08104
0.00811762,-0.538716,1.07951
0.0705107,-0.528832,1.07577
0.119583,-0.521062,1.07283
0.166977,-0.513536,1.06999
0.21272,-0.490209,1.06695
0.26618,-0.462971,1.0634
0.316416,-0.437535,1.06006
0.350276,-0.404,1.05724
0.391088,-0.363187,1.05382
0.435579,-0.318861,1.05011
0.455316,-0.281204,1.04759
0.481149,-0.230504,1.04422
0.512294,-0.169444,1.04015
0.518938,-0.132992,1.04202
0.529337,-0.0673333,1.04596
0.539692,-0.00193454,1.04988
0.540002,-3.93489e-07,1.04999
